review,label
"Tùy nhu_cầu sử_dụng thôi , chơi game mà cầm MM thì e nó dễ vào tường lắm  ",0
Sao trông dầy thế nhỉ  ,-1
"Không liên_quan nhưng con TV Samsung cong đẹp quá , và nhìn hình cũng đẹp",1
- Chết quên ... cho phát_biểu lại Apple_watch là best . - À lại quên . LG_LTE_2 là con đê_tiện thứ 2 khi ăn_cắp thiết_kế của các hãng tổng_hợp nhưng ít_ra nhìn nó cũng ít đê_tiện hơn nhà sam . ... còn muốn con nào best chịu_khó tổng_hợp vào . Chứ ra lấy xe ở p,-1
Bác thấy clip mình z có gọi la lag k . Mình thấy chuột đi chuẩn thì_phải ?  ,0
"Sưu_tầm ko có nghĩa_là sưu_tầm đồ cũ mà_còn sưu_tầm cái độc , cái lạ , tất_tần_tật các thể_loại máy chơi game của nintendo Bây_giờ có nguời muốn chơi mấy game này trên tivi hiện_đại nhưng ko muốn dùng thêm các phụ_kiện chắp_vá không chính_hãng thì chẳng phải cái này rất hợp sao",1
Để nó hít cái năp hộp . Hết  ,0
"Rất đẹp , nhưng phù_hợp với đeo cổ_chân người Việt hơn .  ",-1
"Hay , cá_nhân mà có nhiều ý_tưởng hay vãi  ",1
"Quan_trọng là đối_với mình , Apple_Watch thực_sự không để thay_thế smartphone . Mình có quan_điểm là smart_watch là một phần mở_rộng để giúp mình truy_cập thông_tin nhanh hơn , tiện hơn . Nó giống như cách mobile browser giúp chúng_ta không còn phải cắm mặt vào PC/laptop để xem web vậy , giờ mình có_thể xem được thời_tiết ngay khi ngủ dậy , chỉ cần đưa cổ_tay ra là lên được máy_bay ( rất tiẹnkhi đang túi tắm lỉnh_kỉnh ) . Cá_nhân mình tin_tưởng vào tương_lai của smart_watch nói_chung chứ không_chỉ Apple_Watch bởi_vì các hãng khác cũng sẽ nhanh_chóng đưa những tiẹn dụng của smart_watch đến người dùng và ngay cả AW cũng cần nhiều cải_tiến hơn_nữa ( hiện AW còn cần rất nhiều cải_tiến ) . Nếu các bạn định_vị smartwatch đúng với những gì nó có_thể cung_cấp , các bạn sẽ có_thể khai_thác được nhiều hơn từ nó để cuộc_sống tiện_lợi hơn , nhiều thời_gian cho những mối quan_tâm và thú_vui khác hơn Trước_hết , để tránh các tranh_luận không tốt , mình xin được nói luôn mấy ý : - Bài này mình viết về kinh_nghiệm và trải_nghiệm cá_nhân của mình sau một thời_gian dùng Apple_Watch . Nó có_thể phù_hợp với bạn , có_thể không - > xin đừng bình_luận kiểu "" Tôi không cần cái đó "" - Mình sống ở Mỹ , chắc_chắn cuộc_sống khác đa_số các bạn - > xin đừng nói "" Chả có tác_dụng ở VN "" - Bài này chỉ nói về cách mình ứng_dụng Apple_Watch vào cuộc_sống của mình - > xin đừng nói và tranh_luận về thiết_kế hay giá_cả đắt rẻ - Bài này chỉ nói về cách tốt nhất để tận_dụng Apple_Watch - > xin đừng so dánh với các đồng_hồ khác , kể_cả cổ_điển lẫn smart_watch Ok , mình xin được bắt_đầu với hình_ảnh đầu_tiên , Apple_Watch trên tay mình . Cái mình mua là Apple_Watch bản Stainless_steel , dây Milanese . Mình dùng mặt đồng_hồ rất nhiều thông_tin vì mình đề_cao productivity hơn là cố để nó nhìn giống đồng_hồ thường Apple_Watch có phân Glance , là các thông_tin có_thể được truy_cập nhanh bằng cách vuốt từ dưới lên trên . Ngoài các thông_tin sẵn có_của Apple_Watch như heart beat , activities , mình có đưa 1 số thông_tin mình hay cần xem_ra Glance : - Thời_tiết là thứ hàng sáng mình luôn phải xem - iHearRadio vì mình nghe thường_xuyên - Flight track , mình bay gần_như hàng tuần nên rất cần cái này Một trong các lý_do mình dùng i_Phone là vì có Passbook . Apple_Watch đã giúp_việc dùng Passbook trở_nên thuận_tiện hơn trước rất nhiều - Đi xem phim cuối tuần chỉ cần scan barcode trong AW vào máy soát vé là xong - Đi uống Starbucks , chỉ cần scan AW là cũng thanh_toán nhanh_chóng - Boarding chuyến bay vô_cùng dễ_dàng vì",1
Giá mắc quá . 330 đồng có quá nhiều lựa_chọn  ,-1
mình để chuột ở xa laptop thì nó không bị = ) )  ,0
"Vấn_đề lớn nhất_là không_chỉ ở Việt_Nam mà khắp_nơi trên TG bây_giờ không có AW để mua , với em riêng cái app phục_vụ rèn_luyện thể_thao là vô_cùng đáng tiền rồi . Chủ thớt viết bài câu và nghĩa rõ_ràng quá , đúng là sống ở Mỹ dù là người có nguồn_gốc ở đâu cũng dễ_dàng chở nên văn_minh hơn , tks chủ thớt vì bài đánh_giá .  ",1
"Mình mới tậu đc 1 e.Thử chức_năng tự mở khóa mà thất_vọng quá ( mình khoái nhất cái này ) . Trước nó cho_phép mở khóa luôn nhưng h chỉ cho duy_trì trạng_thái mở khóa thôi , nghĩa_là vẫn phải đăng_nhập bằng tay trước . Đồng_thời app phải cho chạy ngầm ... Nói thật nghi ông Mi này thu_thập dữ_liệu người dùng lắm  ",-1
Sóng bluetooth thì vẫn luôn kém ổn_định so với sóng receiver .,0
"1 cảm_giác rất khác bác ạ , rung nhẹ nhưng lại đủ để cảm_nhận . thú_vị . Giá_mà ứng_dụng công_nghệ rung này vào toy thì_thôi rồi )  ",1
"Vọc , restart máy ... tốn bao thời_gian , bực_mình xoá Mi_Fit đi cài lại thì OK , thật_là éc .",-1
Công_nghệ chip nhớ của anh Sam ngày_càng vượt mặt các hãng của Mỹ rồi nhỉ  ,0
"Suốt ngày dùng mấy vòng đeo này thì đừng hổ sao vô_sinh , ung_thư , bệnh_tật  ",-1
"ko thấy bất_ngờ vì những gì samsung làm được , về cơ_bản là đợi down giá  ",0
"Những thứ khác mình không nói ( khó để giải_thích cho những người vẫn ra sân_bay check in tại quầy lấy boarding pass cái Passbook nó tiện thế_nào được ) nhưng về việc trình_chiếu PPT thì mình giải_thích thêm : Với công_việc của mình ( của mình thôi nhé , không nhất_thiết giống các bạn ) , mình phải dùng PPT rất nhiều và nhiều khi_không được chuẩn_bị trước . Do_vậy phone của mình thường_xuyên được dùng để trình_chiếu ( lightning to VGA hoặc to HDMI ) Nếu bạn đã từng đưa PPT từ phone ra máy_chiếu bạn sẽ thấy ngay 1 sự bất_tiện là mình luôn phải ở gần máy_chiếu vì adapter video out rất ngắn . Với AW thì mình có_thể để phone cắm vào máy_chiếu và ngồi đâu trong phòng cũng trình_chiếu được . Đây là thực_tế công_việc của mình , không phải bịa ra cho vui .  ",1
"Nếu dùng Apple_Watch thì còn khỏi cần Touch_ID nữa cơ . Thò tay vào máy là xong . Apple_Watch sẽ bắt nhập code khi mình đeo , sau đó nó sẽ hiểu là mình vẫn đang đeo và ko hỏi code nữa . Nếu mình tháo ra và đeo lại thì nó sẽ biết và bắt nhập code lại . Cái này khá là tiện mà vẫn an_toàn .  ",1
Nhầm rồi bạn . SW của Huawei nhìn đẹp hơn nhiều  ,-1
"Vãi giá thiệt , nếu ko để lưu phim 4k thì lưu gì cho kín được ngần ấy dung_lượng  ",0
"Mới mua con Apple_watch dây kim_loại , và thấy đẹp hơn moto_360 rất nhiều , theo quan_điểm của Mình thui nha .  ",1
"vỏ nhựa thì thua rồi , tưởng Asus thế_nào thời_buổi này vẫn còn kiểu build kém tiết_kiệm giảm chất_lượng  ",-1
Thế ko có công_nghệ hiện_đại hơn thì sản_xuất éo gì được hả thánh ... .  ,0
"Chả hiểu mọi người cần pin dùng lâu đến như_thế_nào mới đủ vì một ngày , hai ngày hay 1 tuần thì cũng vẫn cứ phải sạc . Mình dùng aw từ sáng đến 8h tối vẫn còn 70% pin . Nói_chung khá hài_lòng với những gì aw mang lại .  ",1
ha_ha bạn mua đi . SS cứ hết bảo_hành là có bệnh : v,-1
"Ý là máy_in lên wafer ấy hả Các fab giờ là DL , HQ nhé .  ",0
Đẹp  ,1
"Hình Batman của Samsung xấu quá , không bằng phên bản Nokia_710_Baman . Hình Batman Nokia_710 đẹp hơn . Tôi đang sử_dụng nè . Có_thể nói Nokia_710 phiên_bản Batman chắc chỉ có 1 cái duy_nhất của tôi tại VN",-1
Nghe cái giá muốn sỉu  ,0
Câu trả_lời là có . Vậy mới gọi_là thông_minh chứ  ,1
"Quá bình_thường so với giá_trị của nó , Tính ra SS6 vẫn đep hơn .",-1
Thế sao các hãng Mỹ như Seagate hay WD nó lại không mạnh về chip nhớ như Samsung bạn nhỉ ? Đa_phần máy_tính giờ dùng ssd của Sam_Sung khá nhiều .  ,0
"Đang dùng Mi4 thấy ưng_ý lắm , không muốn đổi  ",1
"ai cũng chê iphone nhưng cuối_cùng cũng SS bắt trước iphone vè màu_sắc , thiết_kế jack 3.5 phía dưới , loa có lỗ nhỏ , đường viền dải anten",-1
Mua về vài năm nó hỏng thì chát nhỉ . Mà các bác cho e hỏi . Mua ssd về chỉ nghi vào thôi k sóa đi thì để lâu có hỏng k nhỉ .  ,0
"Yêu MI ngay từ cái nhìn đầu_tiên , vẫn mong_chờ cái màn_hình lớn hơn 1 tí thôi Soi các chi_tiết em xác_nhận đây ko phải là tự_nhiên nhé ... ung_thư đấy chủ thớt  ",1
"Ss quá nhiều loại , loạn cả lên",-1
"Mình đang rất cần 1 con SSD siêu như này , nhưng giá trên rõ_ràng ko đủ khả_năng để mua rồi  ",0
Pin thấp như_vậy không biết có sạc nhanh không vậy ?,-1
"﻿Mua về vài năm nó hỏng - > Samsung bảo_hành 3 năm mà lo gì . Mua SSD về bạn sử_dụng y_chang ổ_cứng thông_thường thì cũng phải 8-9 năm ổ_cứng nó mới hết sử_dụng được ( đó là với ổ SSD thường ) , còn ổ SSD 16 TB này được trang_bị công_nghệ mới còn lâu hư hơn nên bạn yên_tâm .",0
Đang dùng M1s khá ngon . Mà Xiaomi thứ gì cũng làm được .  ,1
Qua ngon cho doi Xiaomi  ,1
ôi thiết_kế xấu kinh_điển . cam thi loi . màn_hinh thi hd . đã thế còn 2 dải nhựa đằng sau . giá tận hơn 300 đô,-1
Yên_tâm cái gì . Loại này dành cho doanh_nghiệp lớn . Người thường tiền đâu mà mua nổi . Nó bền thì chắc_chắn rokif . Nhưng bạn cũng ko có tiền mà mua nổi nó đâu . Thấy còn chưa đc nữa  ,0
"Xiaomi tham_gia đủ loại nhỉ . Riêng vong này se ủng_hộ . Thích những thiết_kế vậy , đơn_giản , tốt , deo không sợ hư va đặt_biệt la pin tốt gia mềm  ",1
xau hon s_6_active roi,-1
﻿Giờ già rồi ngồi chơi tầm 1 tiếng là mệt_mỏi  ,0
sau khi xem xong tim mình đập CHỊCH ! CHỊCH ! CHỊCH ! CHỊCH ! ... rất nhanh  ,1
"Kiểu_dáng chỉ có vậy , nhàm_chán quá roài !",-1
﻿Mình có con note_3 chơi bằng tay_cầm Moga_Pro ... ... ... ... . Cái Nvidia này mình mới lấy về ! Tại con note_3 chơi game PSP im nhưng game đồ_họa cao quá thì lag dã_man !,0
Ngon Sau mấy_đời thì đã có màn_hình  ,1
Nhìn cái dải ăngten xấu quá .,-1
"﻿Mỳ ăn_liền hà hà . Đọc bài viết và phân_tích em thấy có_lý và trước đến giờ quan_điẻm để gải trí vẫn không đổi . 1 . Làm_việc thì_có Ultra_book_ASUS , win_7/8 nếu thích là cài ( chip core_i_7_x2 nên khỏi lo ) 2 . Giải_trí thì_có PS4 + TV 42Inch ( ơ mà cái này ít dc chơi vì vợ , vì con hay chiếm TV lắm ) 3 . Game nhẹ nhàgn thì_có Note_10.1_2014_4 . Điện_thoại thì cứ note_2 mà chiến ( đang hăm_he con K_zoom - vì nó có zoom quang , thiết_kế cũng đẹp hơn S4_zoom ) Còn sau để dành_dụm thêm , hiện cứ_thế mà phang cho đời nó tươi",0
Giá đáng nể  ,1
Chả có gì thay_đổi vượt_bậc về ngoại_hình . Hy_vọng không giống như lời đồn . .,-1
"Bạn không đọc từ đầu thì lượn đi cho người khác nói_chuyện . Mod đáng_lý xóa mấy cmt tào_lao này mới_phải . Anw , bài viết giúp mình hiểu hơn về cái mục_đích khi mua 1 cái SW , ở đây là AW . Có_điều , ở VN chưa có ( hoặc chưa phát_triển ) những cơ_sở_hạ_tầng CNTT để thực_hiện đc các ứng_dụng tiện_ích đó . Vì_thế mua AW , nếu_không vì mục_đích như bác chủ , thì chỉ có khoe của là chính !  ",0
Cần ngay 1 em,1
Xong_đời anh táo rồi . Camera lg có bao đời đep . Nó chỉ đẹp trên màn_ảnh thôi chứ thực_tế tui chưa ưng cái nào của lg . Chỗ nào sáng thì đẹp . Chụp trắng thì hơi ngà . Chụp tối thì tối thui luôn . Cầm mấy dòng máy lên chọn default hết chụp sẽ biết thôi . Tệ nhất_là Lg thế_mà ... ... . .,-1
"Có một_số trường_hợp bạn ạ . Ví_dụ như của mình : 1 . Sáng xuống công_ty làm_việc ( công_ty ngay tại nhà ) , đỡ phải mang cái đt theo . Ngồi trong văn_phòng đưa đồng_hồ lên nói_chuyện chả thấy vấn_đề j . Đi wc cũng ko phải xách theo đt . 2 . Thỉnh_thoảng đi cafe , hoặc đưa vợ_con đi ăn kem , đi tập thể_thao mà mặc quần_đùi hoặc sọc túi bé / không có túi , mà cứ phải cầm theo cái đt ip_6 + to_đùng rất khó_chịu . Khi đó chỉ cần chọc cái sim ra nhét sang đồng_hồ là xong . Hoặc đơn_giản hơn , đặt chuyển_tiếp cuộc_gọi từ iphone sang sim trên aw . Vô_cùng tiện_lợi . 3 . Và theo cá_nhân mình , quan_trọng là như_vậy sẽ ko phải đồng_bộ bluetooth giữa iphone và aw , vì bluetooth theo trải_nghiệm của mình là một thứ sóng yếu , hay bị lỗi không đồng_bộ đc , và tốn pin nữa .",0
"Redmi_3 thôi dùng đã ok r bác ơi , chưa nói đến redmi_3_pro  ",1
Nếu bản 256G mà ko tăng_giá thì_là quá ngon . Nhưng nếu bị đội lên tầm 150 $ thì em lạy Apple .,-1
﻿mình thích cái tích_hợp thanh_toán ghê tiết là ở vn cả Aw và Android_wear vẫn chưa dùng dc .  ,0
"﻿Mình đọc bài của bạn , thấy rất ấn_tượng nhưng chỉ ấn_tượng với điều_kiện ... . sống ở 1 nước phát_triển như Mỹ . Còn nếu bạn về VN sống , có_lẽ apple_watch chỉ đơn_thuần là 1 đồng_hồ kèm chức_năng cảm_ứng màn_hình là chính .  ",0
"Không biết Apple làm_vậy để làm_gì , họ thu lợi quá nhiều từ chiếc điện_thoại lại còn cố móc_túi người dùng thêm nữa từ sự chênh_lệch về dung_lượng .",-1
hàng xiaomi ai chưa dùng thì chưa_thể biết được . Dùng rồi mới thấy ngon bổ rẻ là như_thế_nào . đang dùng mi_4 và cảm_thấy hài_lòng kinh_khủng . Hóng các thương_gia nhập em mi_band_2 này về là xúc cho 2 thứ nó giao_cấu với nhau !  ,1
Thế thà mình lấy cáu điện_thoại xem còn nhanh hơn . Bạn ấy đang nói đến độ tiện_dụng ở câu đấy đó . . hahaha,0
Có vẽ như Iphone không_những dậm chận tại_chỗ mà_còn bước lùi nửa !,-1
"Quá ngon , về VN sẽ hốt 1 em .  ",1
"cấu_hình ngon , GTX_960M_GDDR5 , k biết bên trong bộ lòng có ngon hơn GL552VX k nửa .  ",1
" Của rẻ là của ôi  , biết đâu đây là một cú lừa ngoạn_mục nữa ?",-1
Không phân_biệt được bằng rung vì nó rung giống nhau  ,0
Quá đẹp,1
Android luôn_luôn rẻ_tiền . Hèn_gì chất_lượng cũng rẻ_tiền theo .,-1
"Mình ủng_hộ có SIM nhưng là SIM data thôi , nghe gọi bằng SIM riêng trên smartwatch là không hợp_lý lắm . Mấy cái tablet có SIM ít người dùng để nghe gọi lắm  ",0
Nhìn rất đẹp và nam_tính . . !,1
Hàng china lấy mác USA,-1
"Lười thì_ra tiệm đồng_hồ , chỗ nào cũng có đánh lại vỏ hết ( Rolex còn xước mà ) Chăn thì mua đồ đánh_bóng về , có nhiều loại và mình có dùng của 1 hãng tên là Mag ( ko biết ở Vn có không )  ",0
Vâng . Chính_xác là như_vậy . Ko smart thì dùng làm_gì cho nặng_tay hả bác  ,0
Đúng vậy 6gb cũng bằng 3gb của i_Phone,-1
Quá đẹp và sang_trọng ước_mơ 1 con,1
đẹp quá,1
chuẩn luôn . chả có gì đặc_sắc,-1
"Đọc bài viết của chủ Topic xin mạo_muội bình loạn vài câu : 1 . Chủ topic khá am_tường về công nghe , mặc_dù hình_như là dân business . 1 . AW thực_sự hữu_ích cho dân Business chứ không phải cho dân yêu công_nghệ ( Vd coder ngồi 1 chỗ tự kỷ thì có_thể dùng IP , hạn_chế dùng aw chữ nhỏ hại mắt vì coder dán mắt vào màn_hình cả ngày rồi ) và càng không phải dành cho thời_trang . Các fan cồng của Apple nếu mua AW nên đọc bài này để cân_nhắc , ko nên phí tiền vô_ích nếu bạn ko phải là business man / hoặc ko đang sống ở các nước phát_triển về công_nghệ ( vd ở VN thì đeo aw ko biết để làm_gì ) . 3 . Các bạn sử_dụng aw cẩn_thận , ko chừng cận_thị , vì aw khá bé mà hiển_thị khá nhiều thông_tin = > chữ bé , đọc nhiều lồi mắt . Dù_sao cũng thanks chủ Topic đã chia_sẻ kinh_nghiệm , hy vòng 3-5 năm tới ở VN mình có_thể xài AW .  ",0
"Camera thua samsung_s_7 , giá lại cao hơn - ế là cái chắc",-1
"Cũng mới xài aw được 3 ngày , nhìn_chung nếu ở vn thì chưa thực_sự hữu_ích với số tiền bỏ ra trừ khi bạn là người chơi thể_thao hằng ngày tận_dụng tốt được chức_năng activity . Aw tiện_lợi khi xem lịch , thời_tiết , note , nhận được thông_báo nhanh từ email , fb , message mà không cần móc điện_thoại trong túi ra . Màn_hình hiển_thị rất đẹp , cảm_ứng nhạy . Mình thì quen nghe gọi bằng điện_thoại nên chức_năng nghe gọi thẳng từ aw cũng thử cho vui , có_lẽ là chưa quen . Pin của aw cũng không yếu sinh_lý như mình tưởng , sau 1 ngày vooc đủ thứ đến tối vẫn còn hơn 20% . Có chế_độ tiết_kiệm pin nếu bạn không có điều_kiện sạc ngày_một . Tuy_nhiên 1 con watch cho_dù 2 ngày sạc pin 1 lần cũng hơi bất_tiện , có_thể aw 2,3 sẽ cải_thiện được . Đeo khá đẹp , không thấy quá dày . Còn chức_năng phải voọc thêm đã , có_lẽ apple sẽ cập_nhật liên_tục các bản update cho aw vì mình thấy apple vẫn chưa tận_dụng hết tính_năng phần_cứng của aw .  ",0
Cá_nhân mình thấy dòng C này còn đẹp hơn dong A nữa . . ! !,1
"các bác cho em hỏi , em reply trên SMS trên Apple_oắt , mình nói tiếng_việt mà nó cứ nhận sang tiếng_anh thì_phải làm_sao ạ , trên iphone thì nhận tiếng_việt rất tốt",0
"Cái giá này mắc rồi htc ơi , 14triệu hợp_lý hơn",-1
Điện_thoại rẻ_tiền của Samsung giờ nhìn còn đẹp hơn cả iphone .,1
"Thôi ko mơ_mộng SE nữa , rước em này cho lành thôi , chờ sam Việt_Nam bán giá bao_nhiêu nữa thôi",1
Đắt quá rồi HTC ơi . 14.9 còn hi vong doanh_số kha_khá . Giá này sao canh tranh với S7 . 6s .,-1
a đeo bao_nhiêu mm ạ tại tay e nhỏ ko biết nên đeo bao_nhiêu  ,0
Năng_lực sản_xuất của Samsung thật_là mạnh . Họ hạ được giá_thành sản_phẩm khiến các hãng khác cũng mệt .,1
nhạt,-1
E TG CÓ CẢ SIZE M MÀ BÁC SIZE M DÀNH CHO TAY 15-18CM MÀ,0
"Làm thế_nào trả_lời tin_nhắn bằng giọng_nói được nhỉ , mình chọn trả_lời nhưng nút dictation không có hiệu_lực . Có bác nào biết chỉ_giáo giúp nhé",0
Chả thấy đẹp gì cả !,-1
Máy đẹp thế_này không biết giá_cả về việt_nam sẽ thế_nào ?,1
Điện_thoại nào dùng cho cv nhiều là tôi dùng . Cái này note làm tốt hơn ip,1
Nếu vẫn thế_này thì R.I.P Apple . Đây là cơ_hội cho Samsung có những bước_ngoặt lớn,-1
Bac tinh doi sang 42mm ah ?  ,0
"﻿Bác cho mình hỏi , mình sài aw_42 nhôm đen , sài dc 1 tháng rồi , nhưng up os_2 dc 2 tuần thì bị 1 lỗi đúng 2 lần . Lỗi là , bị 2 lần , tụ nhiên khi mình dùng force_tõuh , thì cái taptic nó rung lên kèm 1 tiếng tẹt_tẹt , nhấn bất_cứ cái gì có taptic là nghe âm_thanh đó , reêt lại thì ko bị nữa , cho mình hỏi có bác nào bị vậy ko",0
Nếu đúng như_thế thì không ai mua đâu .,-1
ước gì có em này,1
ngang G4 là cam của LG thuộc top rồi thánh ơi,1
Cứ_thế này thì apple đuối trước binh_đoàn android thôi . Cần có cuộc cách_mạng về thiêt_kế chứ ko thể hi_cọng mãi vào IOS được .,-1
"﻿Hỗ_trợ TIếng Việt , nhưng nhập liệu giọng_nói Tiếng Việt không được .",0
Thế_thì còn gì tính bảo_mật của BB nữa . Tôi yêu BB .,1
"Dần_dần tiến sát thiết_kế iphone rồi đó , cố lên Samsung .",-1
"Phụ hồ đang đeo aw nè , sao phân_biệt giai_cấp vậy bợn ? Ai cấm giữ xe kg dùng gear và phụ hồ kg đeo aw đươc ? ? ? ? ? ? ? ? ? ?  ",0
Bạn có Dfit_D2 không ? Bản này thấy giới_thiệu hiện cả tên người gọi .,0
hix tu_dung no bi nhu the con nay song tot ma em ngoi trong lop cung kha la kin song 3g van cang det ngta goi den vs minh goi di van nghe goi bt nhung moi nhan_tin na toan messenger not sent hien dau_cham_than da reset lai may van the,-1
Bb no_._1,1
Cảm_thấy hài_lòng với note_4 vì mới đc cạp_nhật lên android_6.0.1,1
Em đã sửa Đc Lỗi ko gửi đc Mà E Thấy con Này Chụp Ảnh ko đc đẹp như Mây con 8 chấm khác Nhỉ Mà bi Kiểu khi Chưa chụp thì Nhin Khá Nét Nhưng Chụp xong thi Ảnh lại Ko Đẹp Lắm có nhiều Tấm bị mờ,-1
"﻿thế mới nói . con dfit hình_thức đẹp , chỉ_mỗi_tội không hiện ký_tự tiếng viêt và hiển_thị ngoài_trời kém thôi . còn lại nhìn ngon .  ",0
"Chính hãng 17tr thì xách tay tầm 14-15 , Chờ rớt xuống 12tr thì rất đáng sở_hữu chứ . Thiết_kế đẹp , hoàn_thiện sp tốt .",1
lai mot con docomo lam dap chieu . hang doc co khac het kiet pin khong_the lam_gi duoc . khuyen_cao moi nguoi dung len mua hang docomo pin lien nhu tui gio thi chac chi lam duoc ke giay thui,-1
Thấy miband_2 vẫn hiệu_quả và kinh_tế hơn,0
Ủng_hộ,1
"Các bác . Em gặp tình_trạng con máy 102p dùng hơi đơ , thoát game thì chậm mà vào game thì lâu . nó đã up lên android_4.0 bác ạ",-1
"Ủa sao mình xài Vivosmart_HR thấy pin ngon mà ! ? Mình chạy bộ t 3 - 5 - 7 , các bữa còn lại hít đất . Lúc vận_động mình cũng chỉ cần VHR để đo_đạc nhịp tim thôi , lúc_nào đồng_bộ với app trên i_OS thì mới mở Bluetooth thôi còn ko thì tắt . Xài như_thế pin cũng tầm ~ 10 - 12 ngày mới sạc , hiếm khi là trụ đc tới 2 tuần cơ . Bạn ở đâu mà ko có VHR+ thế ?",0
"Mình vẫn mong_chờ nó ra từng ngày , để cho con S7_Edge nó giảm_giá . : D",1
Nghe nhạc hay mà volume nhỏ_xíu ah Bản p_05d volume còn bé hơn 102p dùng rom port nữa,-1
